type,title,date_added,release_year,rating,description
TV Show,Jumping Girl,28-Apr-17,2015,TV-14,"Sang-ah would do anything to shield pop star Ah-shin from rabid fans. But after an act of protection gone wrong, it looks like she's the crazy one."
TV Show,President,28-Apr-17,2010,TV-14,"An ambitious, talented politician embarks on an intense journey toward winning the presidency while juggling his complicated family affairs."
Movie,Rodney King,28-Apr-17,2017,TV-MA,Roger Guenveur Smith gives voice to the man at the center of the brutal police beating that helped fuel the 1992 LA riots. Spike Lee directs.
Movie,Small Crimes,28-Apr-17,2017,TV-MA,"After serving a six-year prison sentence, an ex-cop tries to rebuild his life in his hometown, but gets caught up in the fallout from his past."
TV Show,What in the World Happened?,28-Apr-17,2015,TV-14,A happy secret romance between a 40-year-old woman and a 25-year-old man is complicated after a greeting card grants her wish to be young again.
TV Show,Mar de Plástico,27-Apr-17,2017,TV-MA,"In a town in southern Spain where racial tensions run high among the workers in its many greenhouses, a cop investigates the murder of a young woman."
Movie,Dear Zindagi,25-Apr-17,2016,TV-14,A young cinematographer with a bright professional future and a lack of empathy learns the importance of balancing ambition with humanity.
Movie,Shepherds and Butchers,25-Apr-17,2016,R,"When a young prison guard commits murder in South Africa, an ardent lawyer aims to prove he was psychologically unbalanced by his role in executions."
Movie,The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,25-Apr-17,2016,TV-MA,"In need of money, an eccentric ex-spy and his younger octogenarian partner embark on an international quest for a valuable Soviet soda formula."
Movie,Vir Das: Abroad Understanding,25-Apr-17,2017,TV-MA,"Comedian Vir Das tackles nationalism, globalism, good food and bad politics in two cleverly crosscut performances in New York and New Delhi."
TV Show,Fangbone,22-Apr-17,2016,TV-Y7,"Magically transported from far-off Skullbania, a young barbarian teams up with an odd third-grader to protect his homeland from an evil sorcerer."
TV Show,Girlboss,21-Apr-17,2017,TV-MA,"Rebellious and broke, Sophia stumbles into creating an online business and learns how to be the boss. A comedy inspired by the best-selling memoir."
TV Show,Hot Girls Wanted: Turned On,21-Apr-17,2017,TV-MA,"Personal stories reveal how the intersection of sex, technology and intimate relationships is rewiring us in fundamental ways."
Movie,Sand Castle,21-Apr-17,2017,TV-MA,"After the invasion of Iraq in 2003, a reluctant soldier's platoon is dispatched on a dangerous mission to repair a hostile village's water system."
TV Show,The Mr. Peabody and Sherman Show,21-Apr-17,2017,TV-Y7,"Mr. Peabody and Sherman host a zany late-night comedy show from a swanky penthouse, with time-traveling historical figures and a live audience."
Movie,Tramps,21-Apr-17,2017,TV-MA,"Pulled into a shady briefcase swap for different reasons, young strangers Danny and Ellie spend an eventful night together when the deal goes wrong."
Movie,Lucas Brothers: On Drugs,18-Apr-17,2017,TV-MA,"Deadpan twin comics Keith and Kenny Lucas take the stage in Brooklyn with a set that touches on drugs, race, Deion Sanders, teachers and O.J. Simpson."
Movie,Bibi & Tina,15-Apr-17,2014,TV-PG,Teen witch Bibi and horse-loving Tina face trouble when a posh girl flirts with Tina's boyfriend and a crook sets his greedy eyes on a promising foal.
Movie,Bibi & Tina II,15-Apr-17,2014,TV-14,"When robbers hit Falkenstein castle, teen witch Bibi and pal Tina hunt for the crooks, then devise a plan to save the neighbors' failing ranch."
Movie,Bibi & Tina: Girls Versus Boys,15-Apr-17,2016,TV-14,"At summer camp, young Bibi and her friends are pitted against the boys in a treasure hunt. But what's a witch to do when she loses her powers?"
Movie,Slam,15-Apr-17,2017,TV-MA,"Teen father-to-be Sam imagines his future as a young parent and finds a surprising mentor while reading about his idol, pro skateboarder Tony Hawk."
Movie,The Wedding Party,15-Apr-17,2016,TV-14,"As their big day arrives, a couple's lavish wedding plans turn into a nightmare of exes, fighting parents and uninvited guests."
Movie,Arctic Heart,14-Apr-17,2016,TV-14,"Madly in love with a brilliant scientist studying an immunizing protein produced by penguins, a timid med student offers her body to his research."
Movie,Our Lovers,14-Apr-17,2016,TV-MA,"A love-challenged man and a woman he meets at a bookshop bar begin dating, but only at the shop – and without knowing anything about each other."
Movie,Sandy Wexler,14-Apr-17,2017,TV-14,"When a hapless but dedicated talent manager signs his first client who actually has talent, his career finally starts to take off."
Movie,Macho,12-Apr-17,2016,TV-MA,A famous designer who's always pretended to be gay finds himself in crisis mode when threatened with exposure as the woman-chasing straight guy he is.
Movie,Kevin Hart: What Now?,11-Apr-17,2016,R,"Frenetic comic Kevin Hart hits Philadelphia and dishes on suburban wildlife, jean shorts and the fine art of getting even with a 7-year-old."
Movie,Frat Star,10-Apr-17,2017,TV-MA,A freshman uninterested in joining a fraternity is convinced to pledge by a rich roommate who introduces him to a world darker than he ever dreamed.
TV Show,The Miracle,10-Apr-17,2016,TV-14,"Polar opposites in personality and looks, fraternal twin sisters who live completely different lives wake up one day to find they've switched bodies."
TV Show,The Get Down,07-Apr-17,2017,TV-MA,"In 1977 New York City, the talented and soulful youth of the South Bronx chase dreams and breakneck beats to transform music history."
Movie,The Lighthouse of the Orcas,07-Apr-17,2016,TV-MA,A mother travels to Patagonia with her autistic son with the hopes that a ranger and a pod of wild orcas can help him find an emotional connection.
Movie,Win It All,07-Apr-17,2017,TV-MA,"After losing $50,000 that wasn't his, gambling addict Eddie starts to rebuild his life. But an unwelcome surprise pushes him toward his old ways."
Movie,Louis C.K. 2017,04-Apr-17,2017,74 min,"Louis C.K. muses on religion, eternal love, giving dogs drugs, email fights, teachers and more in a live performance from Washington, D.C."
TV Show,Burned Cocoon,01-Apr-17,2005,TV-MA,"A secret marriage unites two families – one wealthy and traditional, the other bankrupt and modern – and is threatened by the resulting conflicts."
Movie,Couples Counseling,01-Apr-17,2016,TV-MA,A seasoned couples therapist comes to realize she might need help with her own marriage after meeting a new pair of young clients.
Movie,Deuces,01-Apr-17,2016,TV-MA,"Assigned to go undercover to take down an impenetrable crime ring, a detective finds himself falling under the sway of its enigmatic leader."
Movie,Elaan,01-Apr-17,1971,TV-14,"Journalist Naresh is hired to probe illegal activities on an island. When he's captured, a fellow prisoner gives him a ring with magic powers."
Movie,Five Nights in Maine,01-Apr-17,2015,TV-MA,"After his wife dies in a car accident, a grief-stricken man visits his estranged mother-in-law in Maine, where they try to help each other heal."
Movie,Killa,01-Apr-17,2014,TV-14,Growing up poses challenges for Chinu when he moves from city to country and encounters a youth culture far different from what he's used to.
Movie,Life 2.0,01-Apr-17,2010,TV-MA,Computer users across the globe log onto the virtual world of Second Life. But some users' lives are dramatically consumed by this alternate reality.
Movie,Salaakhen,01-Apr-17,1975,TV-14,"Two close childhood friends take drastically different paths in life, but meet by chance years later and fall in love, unaware of their past bond."
Movie,Skins,01-Apr-17,2017,TV-MA,"Deformed, disfigured characters must find a way to deal with society shunning their differences in this darkly comic social drama."
Movie,The Tenth Man,01-Apr-17,2016,TV-MA,"After spending much of his adult life in New York, an affable economist returns home to Buenos Aires and tries to reconnect with his aloof father."
Movie,Toro,01-Apr-17,2016,TV-MA,Ex-con Toro's brother and former partner in crime makes a desperate plea for help that may put Toro back behind bars ... if he survives at all.
Movie,Bridget Christie: Stand Up for Her,31-Mar-17,2016,TV-MA,"Performing stand-up for a packed house in London's Hoxton Hall, comedian Bridget Christie dives into the politics of gender, sex and equality."
TV Show,Five Came Back,31-Mar-17,2017,TV-MA,Five acclaimed contemporary directors tell the story of five legendary Hollywood filmmakers who enlisted in the armed forces to document World War II.
TV Show,Hoff the Record,31-Mar-17,2016,TV-MA,"TV star David Hasselhoff hopes to reboot his career in the U.K., but both his comeback plans and his personal life keep going off the rails."
Movie,The Discovery,31-Mar-17,2017,TV-MA,"A scientist whose proof of an afterlife caused a rash of suicides forges ahead with his research, while his disapproving son falls for a troubled woman."
Movie,Jo Koy: Live from Seattle,28-Mar-17,2017,TV-MA,"Between raising a teenage boy and growing up with a Filipino mother, stand-up comic Jo Koy has been through a lot. He's here to tell you all about it."
TV Show,Bottersnikes & Gumbles,24-Mar-17,2017,TV-Y7,The fun-loving Gumbles bounce and play while staying away from the foul-smelling Bottersnikes who live in a nearby junkyard.
Movie,Felipe Neto: My Life Makes No Sense,24-Mar-17,2017,TV-MA,"YouTube sensation Felipe Neto brings the stories from his autobiographical book ""Não Faz Sentido!"" to the stage in this comedy special."
Movie,The C Word,24-Mar-17,2016,TV-14,"To solve the mystery of cancer, challenging the status quo is a must. Witness how lifestyle and societal changes may help beat the disease."
Movie,The Most Hated Woman in America,24-Mar-17,2017,TV-MA,"This drama follows the controversial life of outspoken atheist Madalyn Murray O'Hair, from her landmark court battles to her infamous abduction."
TV Show,Dave Chappelle,21-Mar-17,2017,TV-MA,"Comedy icon Dave Chappelle makes his triumphant return to the screen with a pair of blistering, fresh stand-up specials."
TV Show,One-Punch Man,20-Mar-17,2015,TV-14,"The most powerful superhero in the world can kill anyone with one blow. But nothing can challenge him, so he struggles with ennui and depression."
Movie,Best Worst Thing That Ever Could Have Happened,18-Mar-17,2016,TV-MA,"The cast and crew of the 1981 Broadway musical ""Merrily We Roll Along"" recall joy and heartbreak during the production of a surefire hit that wasn't."
Movie,Deidra & Laney Rob a Train,17-Mar-17,2017,TV-14,"With their mother in jail and bills piling up, ambitious small-town teens Deidra and Laney plot a series of train robberies to keep themselves afloat."
TV Show,Julie's Greenroom,17-Mar-17,2017,TV-Y,Adorable puppets stage their own musical under the watchful eye of mentor Julie Andrews in this original kids' series from the Jim Henson Company.
TV Show,Outback Truckers,17-Mar-17,2015,TV-MA,"Australia's toughest big-rig drivers brave wildfires, scorching deserts, treacherous downpours and chassis-deep mud to deliver their cargo on time."
Movie,Pandora,17-Mar-17,2016,TV-MA,"When an earthquake hits a Korean village housing a run-down nuclear power plant, a man risks his life to save the country from imminent disaster."
TV Show,Samurai Gourmet,17-Mar-17,2017,TV-PG,Recent retiree Takeshi rediscovers his passion for food and life by getting in touch with his inner warrior and eating what he truly desires.
Movie,Howards End,16-Mar-17,1992,PG,"When a husband, acting in his family's ""best interest,"" does not accept his wife's deathbed wish, providence dictates that he pay for his duplicity."
Movie,Asoka,15-Mar-17,2001,R,This elaborate Bollywood epic dramatizes one man's transformation from a vengeful and cunning warrior into a legendary leader and teacher of Buddhism.
Movie,"Bon Cop, Bad Cop",15-Mar-17,2006,TV-MA,An English-speaking officer from Toronto and a French-speaking cop from Montreal are forced to work together to solve a crime.
Movie,Notes on Blindness,15-Mar-17,2016,TV-PG,"Based on the audio diaries of academic and theologian John Hull, this film offers an impressionistic re-creation of his slow descent into blindness."
Movie,One 2 Ka 4,15-Mar-17,2001,TV-14,"When his partner is killed, a young cop is forced to care for the man's four children, and solicits the help of a woman who moves in with them."
TV Show,Cheer Squad,14-Mar-17,2016,TV-PG,"Follow the Great White Sharks, a world-champion cheerleading squad, as they juggle the pressures of training, school, work and relationships."
Movie,Jim Norton: Mouthful of Shame,14-Mar-17,2017,TV-MA,"In this unrestricted jaunt through a gleefully filthy mind, comic Jim Norton offers a personal perspective on romance, desire and sexual proclivities."
Movie,100 Meters,10-Mar-17,2016,TV-MA,"A man who is diagnosed with multiple sclerosis responds by training for an Ironman triathlon, with his cranky father-in-law's help."
TV Show,Buddy Thunderstruck,10-Mar-17,2017,TV-Y7,"Follow the outrageous, high-octane adventures of Buddy Thunderstruck, a truck-racing dog who brings guts and good times to the town of Greasepit."
Movie,Burning Sands,10-Mar-17,2017,TV-MA,Promising student Zurich opens his eyes to some hard truths when his fraternity's violent hazing escalates into a disastrous hell night.
TV Show,One More Time,10-Mar-17,2016,TV-14,This fantasy drama follows an indie band singer who repeatedly undergoes unwanted time slips and the girlfriend he must save from an unlucky fate.
Movie,The Butterfly's Dream,10-Mar-17,2013,TV-PG,"Forced to work in a coal mine during World War II, two young poets find some escape when they both fall for the same woman."
Movie,Amy Schumer: The Leather Special,07-Mar-17,2017,TV-MA,"Comic sensation Amy Schumer riffs on sex, dating and the absurdities of fame in a bold and uncensored stand-up set at Denver's Bellco Theater."
TV Show,Love Is in the Air,01-Mar-17,2010,TV-14,"Toprak, who lost her baby, is hired as a wet nurse for wealthy Yusuf's motherless son. Yusuf is drawn to Toprak, but also to her scheming sister."
Movie,Nila,01-Mar-17,2016,TV-MA,"When a cabbie chances upon his childhood sweetheart, he tries to rekindle old feelings but finds that mature love is a more complicated matter."
TV Show,Tong: Memories,01-Mar-17,2016,TV-MA,A tough young man with a short temper and no patience for bullies gains a legendary reputation as the best street fighter in Busan.
Movie,Mike Birbiglia: Thank God for Jokes,28-Feb-17,2017,TV-MA,"Comedian Mike Birbiglia takes the stage in Brooklyn and hits on hard truths about puppets, late people and the very real dangers of being funny."
Movie,Force 2,27-Feb-17,2016,TV-14,"An ex-cop investigates the death of his best friend and two other spies, killings that lead to a mole operating from India's embassy in Budapest."
Movie,Jonas,26-Feb-17,2015,TV-MA,"During Carnival, two teens from different classes meet years after being kept apart. Bad decisions lead the boy to hide with the girl inside a float."
Movie,Operações Especiais,25-Feb-17,2015,TV-MA,"In a crime-plagued area of Rio de Janeiro, a team of honest cops, including a determined rookie, fights corruption and mistrust on all sides."
Movie,I Don't Feel at Home in This World Anymore,24-Feb-17,2017,TV-MA,A timid nursing assistant gets a new lease on life when she and a neighborhood loner track down the degenerates who broke into her house.
TV Show,Legend Quest,24-Feb-17,2017,TV-Y7,"When an evil force threatens his village, a gifted teen who can talk to ghosts puts his skills to good use, one legend at a time."
TV Show,The Sound of Your Heart,24-Feb-17,2016,TV-14,"Based on Korea's longest-running webtoon series, this comedy follows the ridiculous daily lives of a cartoonist, his girlfriend and his subpar family."
TV Show,Love Me As I Am,22-Feb-17,2015,TV-PG,"After wealthy college boy Ömer and lower class college girl Aysem fall in love and quickly marry, they learn that love and life aren't always perfect."
Movie,Trevor Noah: Afraid of the Dark,21-Feb-17,2017,TV-14,"The ""Daily Show"" host ponders the perils of naming countries, how traffic lights turn New Yorkers invincible and why you shouldn't drink in Scotland."
Movie,Boy Missing,19-Feb-17,2016,TV-MA,"When her son is kidnapped and later found traumatized, a lawyer takes justice into her own hands, causing events that spiral out of control."
Movie,Growing Up Wild,19-Feb-17,2016,G,"Five baby animals from different parts of the world grow up learning to survive in the wild, nurtured by the love and guidance of their families."
Movie,Tini: The New Life of Violetta,19-Feb-17,2016,G,"After completing a world tour, a teen pop star spends the summer at an Italian villa to recover from heartbreak and grow into a mature artist."
TV Show,Love for Ten: Generation of Youth,17-Feb-17,2013,TV-14,"A nerdy engineering student falls for a pretty, outgoing girl at his college. To get closer to her, he joins the theater group she belongs to."
Movie,Rocky Handsome,17-Feb-17,2016,TV-MA,A reclusive pawn shop owner sets his sights on revenge when vicious gangsters kidnap his drug-addicted neighbor's young daughter.
Movie,A Heavy Heart,15-Feb-17,2015,TV-MA,"Long past his heyday, a still-virile boxer tries to reconnect with his daughter as he confronts the onset of a terminal, degenerative neural disorder."
TV Show,Nightmare High,15-Feb-17,2016,TV-14,"After a new teacher arrives, students' dreams begin to come true. Class president Ye-rim must solve the nightmarish mystery before it's too late."
Movie,Rush: Beyond the Lighted Stage,15-Feb-17,2010,TV-MA,"Celebrate the remarkable 40-year career of influential Canadian rockers Rush with this documentary, which details the band's formation and evolution."
TV Show,Spark,15-Feb-17,2016,TV-PG,A young woman's life gets a jump-start after she and a musical genius are both struck by the same falling star. But will the side effects derail love?
Movie,The Fury of a Patient Man,15-Feb-17,2016,TV-MA,"After his lover is killed in a jewelry store robbery, quiet José romances café owner Ana, who's unaware he has other motivations."
Movie,The Memory of Water,15-Feb-17,2015,TV-MA,"When the accidental death of a couple's young son sends them grieving in opposite directions, they're forced to re-examine their life and marriage."
Movie,Girlfriend's Day,14-Feb-17,2017,TV-MA,"When he's caught up in a deadly conspiracy, an unemployed greeting card writer must create the perfect card for a new holiday to save his skin."
Movie,Katherine Ryan: In Trouble,14-Feb-17,2017,TV-MA,"Stand-up comic Katherine Ryan reminisces about unusual relationships, life in the hometown she hates and the time she enraged an entire nation."
TV Show,White Nights,14-Feb-17,2016,TV-14,"A coldhearted heiress, a man from her past and an ambitious new hire in her company all become entangled on a battleground for money and power."
TV Show,Cyborg 009: Call of Justice,10-Feb-17,2017,TV-14,"Years after taking up normal lives incognito, the cyborgs are forced to fight again when the superhuman Blessed appear with a plan for humanity."
Movie,David Brent: Life on the Road,10-Feb-17,2016,TV-MA,"With ""The Office"" long in the past, middling salesman David Brent ditches work and goes on tour with his rock band in a disastrous stab at stardom."
Movie,Grillo vs Grillo,10-Feb-17,2017,TV-MA,"Outspoken comedian Beppe Grillo reminisces about his long career, including the triumphs and controversies that fueled his rise in Italian politics."
Movie,Hitler - A Career,10-Feb-17,1977,TV-MA,"This documentary examines how Adolf Hitler's talent for manipulation, psychology and image-making led him from humble origins to near-world conquest."
Movie,"Michael Bolton's Big, Sexy Valentine's Day Special",07-Feb-17,2017,TV-MA,"After Santa tells him he needs 75,000 new babies by Christmas to meet toy supply, Michael Bolton hosts a telethon to inspire the world to make love."
Movie,Daniel Sosa: Sosafado,03-Feb-17,2017,TV-MA,"Comedian Daniel Sosa inhabits various characters, including a Tupperware dealer, a thirsty priest and a Trojan horse soldier in this stand-up special."
Movie,Imperial Dreams,03-Feb-17,2014,TV-MA,"A young father returns home from jail eager to care for his son and become a writer, but crime, poverty and a flawed system threaten his plans."
Movie,Dilwale,01-Feb-17,2015,TV-PG,"A young couple falls in love, but conflicting loyalties drive them apart. Years later, fate intervenes and hands them a second chance."
Movie,Happy New Year,01-Feb-17,2014,TV-14,A revenge-seeking diamond thief gathers a ragtag crew to infiltrate a Dubai hotel hosting a dance contest. But first they have to learn how to dance.
Movie,Haraamkhor,01-Feb-17,2015,TV-14,"A selfish, manipulative schoolteacher takes advantage of a schoolgirl's vulnerability to gratify his dark, narcissistic desires."
Movie,Heroes Wanted,01-Feb-17,2016,TV-MA,"When its special ops agency is wiped out, Spain hastily assembles a new team to defuse a terrorist plot. But who are these scrappy would-be heroes?"
Movie,The Reconquest,01-Feb-17,2016,TV-MA,"Years after they were childhood sweethearts, Manuela and Olmo share a night in Madrid, where they discuss their past and the possibility of a future."
Movie,Zapped,01-Feb-17,2014,TV-Y,A girl discovers a dog-training app that can get boys to obey her every command. But she soon learns that it isn't the cure-all she had hoped for.
Movie,Bill Burr: Walk Your Way Out,31-Jan-17,2017,TV-MA,"No-nonsense comic Bill Burr takes the stage in Nashville and riffs on fast food, overpopulation, dictators and gorilla sign language."
Movie,Semana Santa,31-Jan-17,2015,TV-MA,"A single mother, her boyfriend and her 8-year-old son take a weeklong resort vacation, during which secrets and relationship strains take their toll."
Movie,Journey to Greenland,29-Jan-17,2016,TV-14,"When they flee Paris for a remote village in Greenland, two part-time actors become immersed in the archaic Inuit culture and forge unexpected bonds."
Movie,IBOY,27-Jan-17,2017,TV-MA,"When shards of a cell phone get lodged in a teenager's brain, he discovers he can control electronic devices and uses his newfound power for revenge."
Movie,O Silêncio do Céu,25-Jan-17,2016,TV-MA,"After being raped in her home, a married woman chooses not to tell her husband, unaware that he has his own troubled secret and a plan for revenge."
Movie,Cristela Alonzo: Lower Classy,24-Jan-17,2017,TV-MA,"The irrepressible Alonzo skewers Latino stereotypes, pricey luxuries and her mother's tough-love parenting in a night of sly and infectious comedy."
Movie,Gad Gone Wild,23-Jan-17,2017,TV-MA,French comic Gad Elmaleh regales a Montreal crowd with tales of awkward mix-ups and baffling customs he's encountered since moving to the U.S.
Movie,Pink,20-Jan-17,2016,TV-14,"A sexual assault victim, unjustly tried for the attempted murder of her attacker, is defended by a retired lawyer who challenges India's rape culture."
Movie,Take the 10,20-Jan-17,2017,TV-MA,Two buddies working dead-end cashier jobs endure a mind-blowing series of events on their quest to get to the hip-hop show of their lives.
Movie,Neal Brennan: 3 Mics,17-Jan-17,2017,TV-MA,"Wicked one-liners and soul-baring confessions converge in this uniquely intimate stand-up special from ""Chappelle's Show"" co-creator Neal Brennan."
Movie,Berlin Calling,15-Jan-17,2008,TV-MA,"DJ Ickarus is at the top of his game, dazzling fans and touring the world – until he gets locked in the loony bin after taking a few too many drugs."
Movie,Sarajevo,15-Jan-17,2014,TV-PG,"Tasked with unraveling the assassination of Archduke Franz Ferdinand, an honorable magistrate finds himself targeted by the shadowy perpetrators."
Movie,Stereo,15-Jan-17,2014,TV-MA,"Erik's peaceful rural family life is shaken by the arrival of sinister figures who claim to know him and a mysterious ""friend"" who may not even exist."
Movie,We Are Young. We Are Strong.,15-Jan-17,2014,TV-MA,"In 1992, three radically different residents of Rostock, Germany, become entangled in a violent xenophobic riot that rocks the beleaguered city."
Movie,Casablancas: The Man Who Loved Women,13-Jan-17,2016,TV-14,The rise and smash success of Elite modeling agency founder John Casablancas is chronicled in this biography of the man who invented the supermodel.
Movie,Clinical,13-Jan-17,2017,TV-MA,A psychiatrist is plagued by flashbacks to a terrifying attack as she treats a new patient who was horribly disfigured in an accident.
Movie,Very Big Shot,12-Jan-17,2015,TV-MA,"When three brothers struggling to go straight become targets of a criminal underworld, they use the making of a movie as a front to transport drugs."
Movie,Jim Gaffigan: Cinco,10-Jan-17,2017,TV-14,America's king of clean comedy delivers wickedly funny jokes in his fifth hour-long special.
TV Show,We're Lalaloopsy,10-Jan-17,2017,TV-Y,"The Lalaloopsy gang and their adorable pets know every day is a perfect day to celebrate the magic of friendship, creativity and collaboration."
Movie,Under the Shadow,07-Jan-17,2016,PG-13,"During the Iran-Iraq conflict, a Tehran woman caring for her daughter while her husband is at war is gradually convinced evil spirits are at work."
Movie,Coin Heist,06-Jan-17,2017,TV-14,"When a crisis threatens to destroy their high school, four teens hatch a daring plan to raise $10 million. Step one? Breaking into the U.S. Mint."
Movie,LEGO: Marvel Super Heroes: Maximum Overload,06-Jan-17,2013,TV-Y7,Villainous Loki is amassing an army to conquer Earth! His antics are keeping Spider-Man and S.H.I.E.L.D. busy as they tackle a host of bad guys.
Movie,Rampage: President Down,05-Jan-17,2016,TV-MA,"Lone-wolf vigilante Bill Williamson is back, taking aim at the U.S. government and eluding the pursuit of two FBI agents who are on his trail."
Movie,Marvel's Hulk: Where Monsters Dwell,04-Jan-17,2016,PG,"On Halloween, the Hulk and Dr. Strange battle monsters wreaking havoc on New York and uncover an evil plot by Nightmare, ruler of the Dream Dimension."
Movie,Jen Kirkman: Just Keep Livin’?,03-Jan-17,2017,TV-MA,"Incisive comic Jen Kirkman gets real about women's bodies, the value of alone time and an Italian private tour guide who may have been a ghost."
Movie,Autohead,01-Jan-17,2016,TV-MA,A production crew that thinks it's making a documentary about a humble Mumbai rickshaw driver unmasks a horrifying truth about their film's subject.
Movie,Bee Movie,01-Jan-17,2007,PG,"Barry, a worker bee stuck in a dead-end job making honey, sues humans when he learns they've been stealing bees' nectar all along."
Movie,Headwinds,01-Jan-17,2011,TV-MA,"After his wife inexplicably disappears, a man takes their two children and relocates to his hometown in an attempt to end their grief and move on."
TV Show,Star Trek: Deep Space Nine,01-Jan-17,1999,TV-14,"In this ""Star Trek"" spin-off, Commander Sisko leads the multi-species crew of Deep Space Nine, a Federation space station with a complex mission."
Movie,Udta Punjab,01-Jan-17,2016,TV-MA,"Drug abuse and the darker side of Punjab rear their heads in the intense, interwoven tales of a cop, a doctor, a migrant worker and a rock star."
Movie,Mr. Pig,31-Dec-16,2016,TV-MA,An aging California pig farmer whose property is on the brink of foreclosure makes a last-ditch trip across the border to sell his prized hog.
TV Show,My Runway,30-Dec-16,2016,TV-14,An egotistic top male model and a pretty model wannabe are forced to live each other's lives until they figure out a way to undo their body switch.
TV Show,AJIN: Demi-Human,27-Dec-16,2016,TV-MA,A teenager discovers that he is an Ajin and flees before the authorities experiment on him. Other Ajin plan to fight back and he must choose a side.
TV Show,Chasing Cameron,27-Dec-16,2016,TV-14,Go behind the scenes with social media sensation Cameron Dallas as he takes his career to the next level on an international tour.
Movie,7:19,23-Dec-16,2016,TV-MA,"After a devastating earthquake hits Mexico City, trapped survivors from all walks of life wait to be rescued while trying desperately to stay alive."
Movie,Garfunkel and Oates: Trying to be Special,23-Dec-16,2016,TV-MA,Garfunkel and Oates put on a surprise-filled show in Seattle in hopes of raising enough money to make their own comedy special.
TV Show,Sense8,23-Dec-16,2018,TV-MA,"From the creators of ""The Matrix"" and ""Babylon 5"" comes this tense series in which eight people can telepathically experience each other's lives."
Movie,A Christmas Special: Miraculous: Tales of Ladybug & Cat Noir,20-Dec-16,2016,TV-Y7,Parisian teen Marinette transforms herself into superhero Ladybug to find her lonely secret crush Adrien when he runs away from home at Christmas.
Movie,Gabriel lglesias: I’m Sorry For What I Said When I Was Hungry,20-Dec-16,2016,TV-14,"Hawaiian-shirt enthusiast Gabriel ""Fluffy"" Iglesias finds the laughs in racist gift baskets, Prius-driving cops and all-female taco trucks."
Movie,Barry,16-Dec-16,2016,TV-MA,"A young Barack Obama forges his identity while dealing with race, divergent cultures and ordinary life as a New York City college student."
TV Show,Crazyhead,16-Dec-16,2016,TV-MA,Bowling alley worker Amy and nonconformist Raquel kick some serious demon butt while also facing their inner demons as they navigate their early 20s.
Movie,Sister Cities,16-Dec-16,2016,TV-MA,"After years of estrangement, four sisters gather in the wake of their mother's death, which may or may not have been a suicide."
Movie,3 Türken & ein Baby,15-Dec-16,2015,TV-MA,The lives of three dissatisfied brothers running a family bridal shop turn topsy-turvy when one of them has to care for his ex-girlfriend's baby.
TV Show,Color of Woman,15-Dec-16,2012,TV-PG,"Two women at a cosmetics company compete for love and success. One uses her brain and diligence, while the other works her beauty and charm."
Movie,Eddie - Strongman,15-Dec-16,2015,TV-MA,British strongman Eddie Hall wants to be the strongest man in the world. This documentary reveals the grueling life choices that fuel his obsession.
TV Show,Goodbye My Wife,15-Dec-16,2012,TV-14,A couple’s five-year marriage is put on the line when each of their first loves comes back hoping for another shot at romance.
TV Show,Happy And,15-Dec-16,2012,TV-14,This relatable relationship drama explores the real-life trials and joys of married life through the lens of 11 different wives.
TV Show,Heaven's Garden,15-Dec-16,2011,TV-MA,"When her husband goes to jail for bankruptcy, a woman takes her two daughters to live with her father, who severed ties with her years ago."
TV Show,Ice Fantasy,15-Dec-16,2016,TV-14,"The Ice Tribe prince journeys to a sacred mountain to vanquish evil but soon finds himself at war with the Fire Tribe, led by his long-lost brother."
TV Show,Immortal Classic,15-Dec-16,2012,TV-14,"Two renowned culinary families led by legendary food icons battle for the position of greatest chef, while protecting their secret kimchee recipes."
TV Show,InuYasha,15-Dec-16,2001,TV-14,"Yanked down a well, schoolgirl Kagome Higurashi emerges in feudal Japan, where she must reassemble a sacred jewel while eluding half-demon Inuyasha."
TV Show,K-POP Extreme Survival,15-Dec-16,2012,TV-14,Seung Yeon decides to chase her dream of becoming a K-pop star and audition for a popular group. There's only one catch: It's a boy band.
TV Show,Merlin,15-Dec-16,2012,TV-PG,"This family-oriented retelling of the King Arthur legend finds Merlin arriving in Camelot, where he hones his magic skills with the help of his uncle."
TV Show,Miss Panda & Mr. Hedgehog,15-Dec-16,2012,TV-PG,"When a gifted patissier with a gloomy past meets a bright and easygoing café owner, he begins to shed his thorns and learns to love again."
Movie,Sand Storm,15-Dec-16,2016,TV-PG,"When a Bedouin patriarch takes a second bride, his first wife chafes against her changing status while his daughter chases her own dreams of autonomy."
TV Show,Tokyo Trial,13-Dec-16,2017,TV-MA,"In the wake of World War II, 11 Allied judges are tasked with weighing the fates of Japanese war criminals in a tense international trial."
Movie,Ricardo O'Farrill: Abrazo navideño,12-Dec-16,2016,TV-MA,"The expressive Ricardo O'Farrill uses his astute comedic sensibilities to tease Christmas traditions, and not even Santa Claus escapes unscathed."
Movie,Asperger's Are Us,11-Dec-16,2016,TV-MA,A comedy troupe of four friends on the autism spectrum prepares for a final show before its members go their separate ways.
TV Show,Captive,09-Dec-16,2016,TV-MA,"This documentary series reconstructs history's most complex, high-stakes hostage negotiations as kidnapping victims recount their terrifying ordeals."
